"filename", "language", "C++", "Haskell", "C", "comment", "blank", "total"
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/CBits/varuint.c", "C", 0, 0, 57, 3, 5, 65
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core.hs", "Haskell", 0, 11, 0, 0, 1, 12
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/Block.hs", "Haskell", 0, 103, 0, 3, 18, 124
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/Client.hs", "Haskell", 0, 175, 0, 25, 34, 234
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/ClientProtocol.hs", "Haskell", 0, 23, 0, 7, 20, 50
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/Column.hs", "Haskell", 0, 670, 0, 57, 36, 763
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/Connection.hs", "Haskell", 0, 370, 0, 14, 24, 408
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/ConnectionPool.hs", "Haskell", 0, 45, 0, 2, 4, 51
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/Defines.hs", "Haskell", 0, 34, 0, 20, 32, 86
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/Error.hs", "Haskell", 0, 410, 0, 1, 7, 418
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/HTTP.hs", "Haskell", 0, 8, 0, 0, 1, 9
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/HTTP/Client.hs", "Haskell", 0, 181, 0, 21, 27, 229
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/HTTP/Connection.hs", "Haskell", 0, 29, 0, 3, 9, 41
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/HTTP/Helpers.hs", "Haskell", 0, 62, 0, 3, 11, 76
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/HTTP/Types.hs", "Haskell", 0, 18, 0, 0, 6, 24
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/QueryProcessingStage.hs", "Haskell", 0, 4, 0, 0, 4, 8
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/ServerProtocol.hs", "Haskell", 0, 37, 0, 14, 17, 68
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Core/Types.hs", "Haskell", 0, 263, 0, 14, 31, 308
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/IO/BufferedReader.hs", "Haskell", 0, 151, 0, 2, 39, 192
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/IO/BufferedWriter.hs", "Haskell", 0, 106, 0, 6, 26, 138
"/home/darth/EMQX/clickhouse-haskell/src/ClickHouseDriver/Include/varuint.h", "C++", 9, 0, 0, 0, 3, 12
"Total", "-", 9, 2700, 57, 195, 355, 3316
